EventId,EventTemplate,Occurrences
d41d8cd9,,14
a80891c7,. ____ _ __ _ _,7
9900f765,/\\ / ___'_ __ _ _(_)_ __ __ _ \ \ \ \,7
f82bb76a,\\/ ___)| |_)| | | | | || (_| | ) ) ) ),7
d3ba16af,=========|_|==============|___/=/_/_/_/,7
cbf17d99,:: Spring Boot :: (v2.<*>.<*>.RELEASE),7
93bdaf41,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO [customers-service,,,] <*> --- [ main] <*> : <*> <*> <*> <*> <*>",4
13833814,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO [customers-service,,,] <*> --- [ main] <*> : <*> <*> <*> <*> <*> <*>",4
e0efd749,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.,6
df235259,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in <*> Found <*> JPA repository interfaces.,6
cc8a23d1,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] o.s.cloud.context.scope.GenericScope : BeanFactory <*>,7
ced7bc75,"2021-<*>-<*> <*>:<*>:<*>.<*> <*> [customers-service,,,] <*> --- [ main] <*> : <*> <*> <*>",4
f5a2d79c,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO [customers-service,,,] <*> --- [ <*> <*> : <*> <*> <*> <*>",5
6ef7c1c5,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO [customers-service,,,] <*> --- [ main] <*> : <*> <*> initialization <*> <*> <*> <*>",2
9859baef,"2021-<*>-<*> <*>:<*>:<*>.<*> WARN <*> <*> --- [ main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning",6
44e603d0,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ task-<*>] org.hibernate.Version : HHH000412: Hibernate ORM core version <*>.<*>.<*>.Final,6
1e0c7ed1,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO [customers-service,,,] <*> --- [ task-<*>] <*> : <*> <*> <*> <*> <*>",2
2de5db63,"2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>",6
